Year,DOI,Publication
2014,10.1051/0004-6361/201424187,"Mulcahy D. D., Horneffer A., Beck R., et al., 2014, A&A, 568, A74, The nature of the low-frequency emission of M 51. First observations of a nearby galaxy with LOFAR"
2014,10.1051/0004-6361/201423936,"Morosan D. E., Gallagher P. T., Zucca P., et al., 2014, A&A, 568, A67, LOFAR tied-array imaging of Type III solar radio bursts"
2014,10.1051/0004-6361/201323341,"Mikhailov E., Kasparova A., Moss D., et al., 2014, A&A, 568, A66, Magnetic fields near the peripheries of galactic discs"
2014,10.1051/0004-6361/201423668,"Prasad P., Wijnholds S. J., Huizinga F., et al., 2014, A&A, 568, A48, Real-time calibration of the AARTFAAC array for transient detection"
2014,10.1088/0004-637X/786/2/142,"Vasiliev E. O., Sethi S. K., 2014, ApJ, 786, 142, H I Absorption from the Epoch of Reionization and Primordial Magnetic Fields"
2014,10.1051/0004-6361/201423583,"Rubart M., Bacon D., Schwarz D. J., 2014, A&A, 565, A111, Impact of local structure on the cosmic radio dipole"
2014,10.1093/mnras/stu125,"Mesinger A., Ewall-Wice A., Hewitt J., 2014, MNRAS, 439, 3262, Reionization and beyond: detecting the peaks of the cosmological 21 cm signal"
2014,10.1093/mnras/stt2452,"Roseboom I. G., Best P. N., 2014, MNRAS, 439, 1286, Cosmic star formation probed via parametric stack-fitting of known sources to radio imaging"
2014,10.1093/mnras/stt1878,"Vedantham H. K., Koopmans L. V. E., de Bruyn A. G., et al., 2014, MNRAS, 437, 1056, Chromatic effects in the 21 cm global signal from the cosmic dawn"
2015,10.1051/0004-6361/201526501,"Orru E., van Velzen S., Pizzo R. F., et al., 2015, A&A,  584, A112, Wide-field LOFAR imaging of the field around the double-double radio galaxy B1834+620. A fresh view on a restarted AGN and doubeltjes"
2015,10.1093/mnrasl/slv123,"Zaroubi S., Jelic; V., de Bruyn A. G., et al., 2015, MNRAS,  454, L46, Galactic interstellar filaments as probed by LOFAR and Planck"
2015,10.1016/j.ascom.2015.08.001,"Breitling F., Mann G., Vocks C., et al., 2015, A&C,  13, 99, The LOFAR Solar Imaging Pipeline and the LOFAR Solar Data Center"
2015,10.1051/0004-6361/201526638,"Jelic V., de Bruyn A. G., Pandey V. N., et al., 2015, A&A,  583, A137, Linear polarization structures in LOFAR observations of the interstellar medium in the 3C 196 field"
2015,10.1051/0004-6361/201525632,"Shulevski A., Morganti R., Barthel P. D., et al., 2015, A&A,  583, A89, AGN duty cycle estimates for the ultra-steep spectrum radio relic VLSS J1431.8+1331"
2015,10.1051/0004-6361/201425210,"Heald G. H., Pizzo R. F., Orru E., et al., 2015, A&A,  582, A123, The LOFAR Multifrequency Snapshot Sky Survey (MSSS). I. Survey description and first results"
2015,10.1093/mnras/stv1640,"Ciardi B., Inoue S., Abdalla F. B., et al., 2015, MNRAS, 453, 101, Simulating the 21 cm forest detectable with LOFAR and SKA in the spectra of high-z GRBs"
2015,10.1093/mnras/stv1355,"Ghosh A., Koopmans L. V. E., Chapman E., et al., 2015, MNRAS, 452, 1587, A Bayesian analysis of redshifted 21-cm H I signal and foregrounds: simulations for LOFAR"
2015,10.1093/mnras/stv1306,"Karastergiou A., Chennamangalam J., Armour W., et al., 2015, MNRAS, 452, 1254, Limits on fast radio bursts at 145 MHz with ARTEMIS, a real-time software backend"
2015,10.1016/j.ascom.2015.06.002,"van Diepen G. N. J., 2015, A&C, 12, 174, Casacore Table Data System and its use in the MeasurementSet"
2015,10.1093/mnras/stv1107,"Asad K. M. B., Koopmans L. V. E., Jelic V., et al., 2015, MNRAS, 451, 3709, Polarization leakage in epoch of reionization windows - I. Low Frequency Array observations of the 3C196 field"
2015,10.1093/mnras/stv1066,"Sobey C., Young N. J., Hessels J. W. T., et al., 2015, MNRAS, 451, 2493, LOFAR discovery of a quiet emission mode in PSR B0823+26"
2015,10.1088/0004-637X/809/1/67,"Karako-Argaman C., Kaspi V. M., Lynch R. S., et al., 2015, ApJ, 809, 67, Discovery and Follow-up of Rotating Radio Transients with the Green Bank and LOFAR Telescopes"
2015,10.1051/0004-6361/201526064,"Morosan D. E., Gallagher P. T., Zucca P., et al., 2015, A&A, 580, A65, LOFAR tied-array imaging and spectroscopy of solar S bursts"
2015,10.1093/mnras/stv855,"Yoshiura S., Shimabukuro H., Takahashi K., et al., 2015, MNRAS, 451, 266, Sensitivity for 21 cm bispectrum from Epoch of Reionization"
2015,10.1093/mnras/stv746,"Vedantham H. K., Koopmans L. V. E., de Bruyn A. G., et al., 2015, MNRAS, 450, 2291, Lunar occultation of the diffuse radio sky: LOFAR measurements between 35 and 80 MHz"
2015,10.1051/0004-6361/201425538,"Obrocka M., Stappers B., Wilkinson P., 2015, A&A, 579, A69, Localising fast radio bursts and other transients using interferometric arrays"
2015,10.1051/0004-6361/201425416,"Shulevski A., Morganti R., Barthel P. D., et al., 2015, A&A, 579, A27, The peculiar radio galaxy 4C 35.06: a case for recurrent AGN activity?"
2015,10.1088/0004-637X/806/2/224,"Metzger B. D., Williams P. K. G., Berger E., 2015, ApJ, 806, 224, Extragalactic Synchrotron Transients in the Era of Wide-field Radio Surveys. I. Detection Rates and Light Curve Characteristics"
2015,10.1016/j.ascom.2015.03.002,"Swinbank J. D., Staley T. D., Molenaar G. J., et al., 2015, A&C, 11, 25, The LOFAR Transients Pipeline"
2015,10.1088/1475-7516/2015/05/018,"Nelles A., Buitink S., Corstanje A., et al., 2015, JCAP, 5, 018, The radio emission pattern of air showers as measured with LOFAR - a tool for the reconstruction of the energy and the shower maximum"
